Citation Ticket Number,Status,appl_identifier,Application Type,Appeal Date,Amount Due,Date Close,Judgement ,Judgement Comments,vehicles,addr_city,addr_zip,permit_permission
3722001733,Paid,244764,2nd appeal-Offc of Stud Conduct,10/31/2022 8:43,0,3/10/2023 14:29,2nd Appeal Denied- Citation Upheld,From Appellate Board: This citation is upheld based on the lack of new and relevant information. There are also visible signage indicating the times when parking is enforced until midnight. It is the responsibility of the student to be aware and adhere to all campus parking rules when they choose to bring a vehicle.,T0765106-MD,Hyattsville,20783,Lot 11 Commuter
722023649,Paid,247456,2nd appeal-Offc of Stud Conduct,2/1/2023 8:16,0,5/15/2023 13:57,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the previously reduced citation amount. The Board determined that the student did violate parking regulations and already received a reduction in the citation.,"ERC6571-PA,JTM4828-PA",Garnet Valley,19060-1225,Overnight Storage- Lot 11
1322024917,Transferred,245082,2nd appeal-Offc of Stud Conduct,11/8/2022 15:36,0,1/3/2023 15:18,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The citation is upheld based on a lack of new and relevant evidence. The student's claim regarding their unawareness of the metered parking and the short duration is not new information as it was readily available during the time of the initial appeal. The student's claim regarding financial concerns also does not constituent a valid reason for further consideration. In the future, the student should be more responsible in knowing and communicating campus rules and regulations to those they entrust their vehicle to.","PET3466-MD,YAMAGA-MD,2EN3354-MD,1FH6967-MD",Westminster,21157-7686,NULL
1823009303,Paid,250509,2nd appeal-Offc of Stud Conduct,4/12/2023 13:12,0,5/15/2023 14:30,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,03699CJ-MD,Westminster,21157,Lot 1
722024026,Transferred,247473,2nd appeal-Offc of Stud Conduct,2/1/2023 12:29,0,5/15/2023 15:06,2nd Appeal Denied- Citation Upheld,From Appellate Board: The board determined to uphold the decision of CRU and reduce the original citation. The Board determined the student should be held accountable for violating the parking regulations but granted leniency for the mistake.,83334CJ-MD,Potomac,20854-1235,Lot 6 Commuter
1523012659,Paid,250842,2nd appeal-Offc of Stud Conduct,4/19/2023 9:18,0,5/15/2023 14:42,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,2DZ2257-MD,Montgomery Village,20886,NULL
3722005436,Transferred,248408,2nd appeal-Offc of Stud Conduct,2/21/2023 12:45,0,5/15/2023 14:48,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,3ES6670-MD,Baltimore,21237-4254,Lot 19
3822002917,Transferred,245086,2nd appeal-Offc of Stud Conduct,11/8/2022 15:41,0,4/4/2023 16:43,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Appellate Board determined the student submitted no new and relevant information for the board to consider. Therefore the board agrees with the decision to reduce the citation.,V45GXS-NJ,Norwell,2061,Overnight Storage- Lot 19
722022306,Paid,245789,2nd appeal-Offc of Stud Conduct,12/1/2022 16:01,0,1/3/2023 15:15,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The citation is upheld on the basis of a lack of new and relevant information. While the student's financial concerns and clean citation history is noted, it is ultimately is the student's responsibility to adhere to campus parking regulations at all times, a burden chosen by the student to bear when they decided to bring a vehicle on campus. If the citation after the reduction still presents a financial burden, the student is encouraged to reach out to DOTS' customer service team to see if a payment plan is a possible accommodation.","GH1152-DC,3867YQ-ME",Chevy Chase,20815-6345,Lot 6 Commuter
3822003952,Transferred,246806,2nd appeal-Offc of Stud Conduct,1/13/2023 15:20,0,4/3/2023 11:31,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Board agrees with CRU that the citation be reduced. While they did commit a violation, and should have been more aware of the rules, this is their first offense. There is no additional information to be considered.",W92LYK-NJ,Burlington,08016-2707,Overnight Storage- Lot 11
2822005649,Paid,244525,2nd appeal-Offc of Stud Conduct,10/25/2022 15:00,0,3/10/2023 14:23,2nd Appeal Denied- Citation Upheld,"From Appellate Board: This citation is upheld based on a lack of new and relevant evidence. It is the student's responsibility to be aware of DOTS construction zones and ensure they are leaving their vehicle in a legal lot. In the future, they should be more diligent and thorough in their checking.","7DK9755-MD,1CR0000-MD,7BT9252-MD",Leonardtown,20650-5884,Lot 19
1523011999,Paid,249644,2nd appeal-Offc of Stud Conduct,3/16/2023 15:56,0,5/15/2023 14:20,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,5DY0863-MD,Frederick,21703-6000,NULL
3722003090,Transferred,245787,2nd appeal-Offc of Stud Conduct,12/1/2022 15:59,0,1/19/2023 15:47,2nd Appeal Denied- Citation Upheld,From Appellate Board: This citation is being upheld on the basis of a lack of new and relevant information.,"CVV23021-IL,CV23021-IL",Aurora,60506,NULL
3823006416,Paid,248216,2nd appeal-Offc of Stud Conduct,2/17/2023 12:14,0,4/3/2023 10:47,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Board did not find any new and relevant information to consider. At the time of the incident the student opted out of electronic notifications involving relocations, therefore they are fully responsible for being aware of the regulations. The Board votes to uphold the decision by CRU to reduce the original citation.",3CT8221-MD,Hyattsville,20785-3538,Lot 6 Commuter
3722001992,Paid,243982,2nd appeal-Offc of Stud Conduct,10/12/2022 16:05,0,11/21/2022 10:26,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Board agrees to reduce the original citation amount by half in line with the decision by DOTS (2:1 vote). Although the student had a code, they should have been more aware of the parking regulations to ensure they parked in a metered spot so that DOTS could verify their circumstances.",00823CJ-MD,Clarksburg,20871-6315,Lot 1
1322025344,Paid,242889,Online Appeal,9/20/2022 0:13,0,11/30/2022 10:55,2nd Appeal Denied- Citation Upheld,"From CRU: The student received a citation for parking in Lot B without the respective permit. The student claims they thought this was Stadium Drive Garage, a space for which they have a permit. The student will be held fully accountable because it is their responsibility to use lot signage to ensure they are parking in their assigned area. In the future, the student could also refer to DOTS' parking maps to ensure they are parking in their desired location. Therefore, the citation is upheld.",8CP0329-MD,Rockville,20853-3014,Stadium Drive Garage
3923002215,Paid,250735,2nd appeal-Offc of Stud Conduct,4/17/2023 15:17,0,5/15/2023 14:37,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,K75MVM-NJ,Livingston,7039,Lot 3
722022503,Paid,245731,2nd appeal-Offc of Stud Conduct,11/30/2022 10:22,0,1/3/2023 15:10,2nd Appeal Denied- Citation Upheld,From Appellate Board: This citation is upheld on the basis of lacking new and relevant information. The student's claim of financial burdens does not constituent a valid reason for reconsideration. The student is encouraged to reach out to DOTS' customer service for potential accommodations regarding payment mediums.,1EE0805-MD,Suitland,20746,Lot 1
1322024564,Transferred,243376,2nd appeal-Offc of Stud Conduct,9/29/2022 13:28,0,12/9/2022 11:07,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Appellate Board has reviewed the second appeal and has decided to uphold the citation. Because there was no new and relevant information presented in the second appeal and the student received notice previously, we recommend planning in advance and reviewing lot policies during the game season.",X341419-IL,Hyattsville,20782,"Green Permit- Student,Lot 1"
3723005957,Transferred,248212,2nd appeal-Offc of Stud Conduct,2/17/2023 12:11,0,5/15/2023 14:16,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,AY68090-CT,Westport,06880-2809,Lot 3
3923001859,Paid,250463,2nd appeal-Offc of Stud Conduct,4/11/2023 15:54,0,5/15/2023 14:28,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,9FA5290-MD,Edgewater,21037-3918,NULL
1322024420,Paid,243374,2nd appeal-Offc of Stud Conduct,9/29/2022 13:24,0,11/4/2022 11:09,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Board voted to reduce the original citation in support of the first appeal decision by DOTS. This was their first violation and made attempts to contact DOTS.,4AS4189-MD,Parkville,21234-1816,NULL
1522011063,Paid,247484,2nd appeal-Offc of Stud Conduct,2/1/2023 13:53,0,4/3/2023 11:24,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Appellate Board votes to reduce the citation.  The student did not present any new or relevant information to consider, therefore the decision of CRU stands.",6EH6578-MD,Silver Spring,20902-1858,NULL
3822002593,Paid,244590,2nd appeal-Offc of Stud Conduct,10/26/2022 12:54,0,3/10/2023 14:32,2nd Appeal Denied- Citation Upheld,"From Appellate Board: This citation is upheld due to the lack of new and relevant information. It is the student's responsibility to be aware of of parking regulations on campus. The student's notes for financial concerns is noted, but the citation has already been reduced.",DHRITHI-VA,Herndon,20171,NULL
3823006843,Paid,248550,2nd appeal-Offc of Stud Conduct,2/23/2023 14:23,0,5/15/2023 14:13,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,1EP7884-MD,Silver Spring,20906-3007,NULL
1523012439,Transferred,250193,2nd appeal-Offc of Stud Conduct,4/5/2023 13:21,0,5/15/2023 14:23,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,8EEP56-MD,Columbia,21046-1651,NULL
722022583,Transferred,246033,2nd appeal-Offc of Stud Conduct,12/8/2022 12:34,0,4/3/2023 11:58,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Board voted to uphold the decision of CRU in that there is no new and relevant information presented by the student to consider given that they had received prior warnings about this offense.,"7ET2909-MD,4FF6552-MD",Frederick,21702-6833,NULL
722022621,Transferred,246037,2nd appeal-Offc of Stud Conduct,12/8/2022 12:36,0,4/3/2023 11:56,2nd Appeal Denied- Citation Upheld,From Appellate Board: There is no new and relevant information for the board to consider. The student received 2 prior warnings and a reduced citation for the same offense previously. Uphold the citation.,"7ET2909-MD,4FF6552-MD",Frederick,21702-6833,NULL
822024361,Paid,248386,2nd appeal-Offc of Stud Conduct,2/21/2023 10:51,0,5/15/2023 14:52,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,NULL,Annapolis,21403-1668,NULL
1523012529,Transferred,250603,2nd appeal-Offc of Stud Conduct,4/13/2023 15:46,0,5/15/2023 14:33,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,"T1212532-MD,8FG7605-MD",Silver Spring,20903,Lot 4
1323027744,Paid,248214,2nd appeal-Offc of Stud Conduct,2/17/2023 12:12,0,4/3/2023 11:04,2nd Appeal Denied- Citation Upheld,From Appellate Board: There is no new and relevant information presented by the student for the Board to consider. Therefore the board upholds the decision by CRU.,2DP3028-MD,Glenelg,21737,Lot 6 Commuter
1223016097,Paid,250626,2nd appeal-Offc of Stud Conduct,4/14/2023 10:24,0,5/15/2023 14:35,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information after the citation was already reduced.,VVN062-NE,Annapolis,21412,NULL
3722002452,Transferred,242227,Online Appeal,9/7/2022 13:07,0,11/10/2022 16:12,2nd Appeal- Citation Voided,"The student received an expired meter citation in Union Lane Garage. The student claims to have paid $12 for parking until 4:40 pm. The student should be held accountable because pay areas are enforced daily, from 7 am - Midnight. However, the student should be granted some leniency because this is their first citation. Therefore, the citation is reduced.","3EC6109-MD,2FC4741-MD",Gaithersburg,20877,NULL
822023160,Voided,245588,2nd appeal-Offc of Stud Conduct,11/22/2022 9:19,0,2/6/2023 10:10,2nd Appeal- Citation Voided,From Appellate Board: This citation has been voided as the student has presented evidence of circumstances that prevented them from following parking rules beyond their control.,9EC5093-MD,Bethesda,20817-2953,Overnight Storage- Lot 11
3822004587,Voided,246955,2nd appeal-Offc of Stud Conduct,1/19/2023 15:35,0,5/15/2023 15:19,2nd Appeal- Citation Voided,From Appellate Board: The appellate board determined to void the original citation amount. The Board determined that the student did not violate parking regulations and provided the correct pass in regards to the citation.,"2ER5457-MD,7EV4366-MD",Poolesville,20837-2180,"Bundle Pack- Student,Lot 4"
1522010251,Paid,246614,2nd appeal-Offc of Stud Conduct,1/5/2023 14:59,0,5/15/2023 15:10,2nd Appeal- Fine Reduced,"From Appellate Board: The Board votes to reduce the sanction. Specifically, the student is clearly in violation of parking in the fire lane and should be held accountable to their decision. However, the Board determined that financial hardship should be taken into consideration and leniency be granted in this case.",5AP1614-MD,Clarksburg,20871-3353,Lot 19
1323027958,Paid,248259,2nd appeal-Offc of Stud Conduct,2/17/2023 15:48,0,5/15/2023 14:59,2nd Appeal- Fine Reduced,"From Appellate Board: The Board voted to reduce the sanction. Although they violated parking regulations, they described an illness that prevented them from moving the 2nd vehicle as they intended to. This holds them accountable while granting leniency for the violation.",H69PHY-NJ,Moorestown,08057-2618,Lot 19
1222013904,Paid,246961,2nd appeal-Offc of Stud Conduct,1/19/2023 15:42,0,5/15/2023 15:02,2nd Appeal- Fine Reduced,"From Appellate Board: The board determined to reduce the original citation amount by half. The Board determined that although the student did violate parking regulations by parking in the fire lane, they should be granted leniency due to a medical emergency. They made efforts to put their hazards on indicating they would be there temporarily.","4FA4670-MD,9AX8344-MD,4FVV63-MD,7FC3427-MD,4EK7592-MD",Laurel,20708-3517,Lot 9
3723005921,Appealed - Balance Due,247153,Online Appeal,1/25/2023 7:30,330,2/9/2023 10:59,Appeal Denied - Citation Upheld,"vehicle was left unattended in handicap parking space,no handicap placard was displayed,this is a valid citation (rl)",2BB6327-MD,Laurel,20707,NULL
822023666,Paid,243220,Online Appeal,9/26/2022 17:51,0,10/26/2022 14:56,Appeal Denied - Citation Upheld,"unpaid parking meter,meters are enforced 7am-midnight (rl)",3DL7862-MD,Frederick,21703,NULL
3823007068,Paid,247942,Online Appeal,2/12/2023 9:47,0,3/3/2023 15:20,Appeal Denied - Citation Upheld,"24/7 restricted,need a valid lot 5 permit to park in this lot,special events included (rl)",7SN973-WV,Charles Town,25414,NULL
3822004715,Voided,245042,Online Appeal,11/8/2022 6:50,0,12/12/2022 13:48,Appeal Denied - Citation Upheld,"unpaid parking meter,meters are enforced 7am-midnight (rl)",NULL,ROCKVILLE,20854-3755,NULL
3823007421,Paid,248531,Online Appeal,2/23/2023 11:08,0,3/16/2023 9:50,Appeal Denied - Citation Upheld,"not a parking space,blocking a dumpster,not a valid parking space,sign does not mean you can park in this space (rl)",96N582-WV,HEDGESVILLE,25427-4105,NULL
3723007946,Paid,249722,Online Appeal,3/18/2023 17:31,0,4/25/2023 14:30,Appeal Denied - Citation Upheld,NEED A VALID F/S PERMIT AFTER 4 AND WEEKENDS (RL),NULL,Falls Church,22046,NULL
3723006368,Paid,247612,Online Appeal,2/3/2023 17:35,0,2/22/2023 13:45,Appeal Denied - Citation Upheld,"unpaid parking meter,meters are enforced daily 7am-midnight (rl)",5ER3674-MD,Bel Air,21015,NULL
1523012196,Paid,249982,Appeals Submitted in House,3/31/2023 9:46,0,5/4/2023 15:54,Appeal Denied - Citation Upheld,"need a valid lot N permit mon-fri 7am-4pm,need a valid f/s permit after 4 and weekends (rl)",NULL,Vienna,22182,NULL
822025006,Appealed - Balance Due,246121,Online Appeal,12/11/2022 13:49,75,1/2/2023 12:27,Appeal Denied - Citation Upheld,"unpaid parking meter,meters are enforced 7am-midnight (rl)",6EV3328-MD,GERMANTOWN,20874,NULL
1323028408,Paid,248613,Online Appeal,2/24/2023 13:20,0,3/15/2023 13:04,Appeal Denied - Citation Upheld,"need a valid JJ permit mon-fri 7am-4pm,lot is free after 4 and weekends,has a handicap placard displayed but no valid UMD permit(rl)",NULL,Rockville,20854,NULL
3723007653,Appealed - Balance Due,249296,Online Appeal,3/10/2023 8:29,130,4/17/2023 11:25,Appeal Denied - Citation Upheld,not a valid parking space (rl),NULL,Fairfax,22032,NULL
3722004812,Paid,245225,Online Appeal,11/11/2022 12:43,0,12/14/2022 15:19,Appeal Denied - Citation Upheld,"24/7 restricted,need a valid lot 5 permit to park in this lot,had an old citation displayed on vehicle(rl)",NULL,Upper Marlboro,20772,NULL
3523007900,Paid,250352,Online Appeal,4/10/2023 9:38,0,5/15/2023 12:18,Appeal Denied - Citation Upheld,"need a valid carpool permit to park in this space ,parked in front of sign(rl)",MCT3887-PA,Philadelphia,19128,NULL
3722002697,Appealed - Balance Due,242011,Online Appeal,9/1/2022 19:45,330,10/26/2022 9:08,Appeal Denied - Citation Upheld,need a valid handicap placard to park in this space(rl),NULL,Bladensburg,20710,NULL
23043119,Paid,246790,Appeals Submitted in House,1/13/2023 13:49,0,1/31/2023 15:36,Appeal Denied - Citation Upheld,vehicle was left unattended in a fire lane (rl),3BG3535-MD,LA PLATA,20646,NULL
1323029048,Appealed - Balance Due,251232,Online Appeal,4/27/2023 13:17,45,6/6/2023 14:47,Appeal Denied - Citation Upheld,"unpaid parking meter,meters are enforced daily 7am-midnight(rl)",NULL,chantilly,20151,NULL
1523012737,Appealed - Balance Due,251231,Online Appeal,4/27/2023 13:15,85,6/6/2023 14:34,Appeal Denied - Citation Upheld,"need a valid lot A permit mon-fri 7am-4pm,need a valid f/s permit after 4 and weekends(rl)",NULL,chantilly,20151,NULL
3723005892,Appealed - Balance Due,247416,Online Appeal,1/31/2023 14:04,330,2/17/2023 14:08,Appeal Denied - Citation Upheld,"UNPAID PARKING METER,METERS ARE ENFORCED DAILY 7AM-MIDNIGHT,VEHICLE WAS DISPLAYING A CITATION FROM THE DAY BEFORE (RL)",NULL,Silver Spring,20901,NULL
3823007417,Appealed - Balance Due,248612,Appeals Submitted in House,2/24/2023 13:01,330,3/15/2023 13:03,Appeal Denied - Citation Upheld,"permit was altered,should have used another permit if a mistake was made (rl)",NULL,Hanover,21076,NULL
3922000694,Paid,244418,Appeals Submitted in House,10/24/2022 9:30,0,12/1/2022 9:24,Appeal Denied - Citation Upheld,"vehicle left unattended in fire lane,could have parked in the garage and selected 15 mins. free option (rl)",NULL,Silver Spring,20903,NULL
722022971,Paid,243388,Online Appeal,9/29/2022 15:25,0,11/4/2022 11:02,Appeal Denied - Citation Upheld,"need a valid lot J permit mon-fri 7am-4pm,lot is free after 4 and weekends(rl)",NULL,beltsville,20705,NULL
3922000634,Paid,244195,Online Appeal,10/17/2022 21:49,0,11/18/2022 15:12,Appeal Denied - Citation Upheld,vehicle left unattended at a fire lane (rl),"9ES5187-MD,9EP4111-MD",COLLEGE PARK,20740,NULL
